                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.2641,                 1.8594,                 1.4114,                0.29357,                0.13229,                0.08138,                0.05068,                 1.4854,                 2.1052,                 1.5593,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.2631,                 1.7994,                 1.3978,                0.24548,                 0.1295,                0.07764,                0.04746,                 1.4793,                 2.1122,                 1.5416,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.2873,                 1.8735,                 1.4199,                0.24929,                0.15446,                 0.0816,                0.04998,                 1.4457,                 2.0821,                 1.5305,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.2901,                 1.8742,                 1.4393,                0.24845,                0.14585,                0.08439,                0.05452,                 1.4542,                 2.0768,                 1.5375,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.2877,                 1.8676,                 1.4122,                0.26083,                0.13193,                0.08586,                0.05108,                 1.4612,                 2.0787,                 1.5285,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.2504,                 1.8079,                 1.4031,                0.27528,                0.15031,                0.08336,                 0.0519,                 1.4667,                 2.0986,                 1.5342,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.2893,                 1.8618,                 1.4413,                0.27015,                0.15351,                0.08831,                0.05434,                 1.4671,                 2.0646,                 1.5269,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.2467,                 1.7956,                 1.3983,                0.25698,                0.13888,                0.08336,                0.05166,                 1.4683,                 2.0823,                   1.53,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.1818,                 1.8017,                 1.3323,                0.28865,                0.13233,                0.08312,                0.05292,                  1.461,                 2.0648,                 1.5309,             0.00010808,             0.00010808,             0.00010808
                     91,                 1.1765,                 1.7719,                 1.3437,                0.26422,                0.14205,                0.08077,                0.05049,                 1.4486,                 2.0683,                 1.5332,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.1688,                 1.7629,                 1.3258,                0.26101,                0.13612,                0.08003,                0.05043,                 1.4566,                 2.0684,                 1.5264,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.1569,                 1.7368,                 1.3153,                0.25506,                0.15021,                0.07836,                0.04904,                 1.4574,                 2.0686,                 1.5334,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.1536,                 1.7262,                 1.3144,                0.25211,                0.13815,                0.08252,                0.05154,                 1.4582,                 2.0694,                 1.5312,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.1383,                 1.7065,                 1.3112,                0.26181,                0.14631,                0.08209,                0.04969,                 1.4586,                 2.0635,                  1.533,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                  1.157,                 1.7257,                 1.3216,                0.26486,                0.14746,                0.08438,                 0.0504,                 1.4571,                 2.0649,                 1.5465,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 1.1301,                 1.6652,                 1.3015,                0.26575,                0.13839,                0.08463,                0.05123,                 1.4739,                  2.083,                 1.5469,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.1438,                 1.6821,                  1.314,                0.26246,                0.14617,                0.08314,                0.05047,                 1.4627,                 2.0623,                  1.547,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.1476,                 1.6796,                 1.3188,                0.25498,                0.14989,                0.08344,                0.05118,                 1.4516,                 2.0694,                 1.5392,             2.7088e-05,             2.7088e-05,             2.7088e-05
